Time,Delhi,BRPL,BYPL,NDPL,NDMC,MES
01/09/2023 17:35,6177.730,2562.780,1357.600,1834.820,308.610,39.590
01/09/2023 17:40,6091.750,2573.750,1325.150,1794.390,306.420,38.480
01/09/2023 17:45,6025.900,2533.560,1317.410,1792.240,300.650,38.280
01/09/2023 17:50,6013.360,2533.980,1307.410,1768.560,298.630,37.730
01/09/2023 17:55,5977.480,2496.210,1325.170,1765.720,296.380,37.520
01/09/2023 18:00,5943.160,2520.240,1292.060,1744.270,293.130,37.020
01/09/2023 18:05,5906.810,2484.560,1287.740,1751.120,288.950,36.550
01/09/2023 18:10,5891.140,2487.460,1292.680,1739.900,285.160,36.440
01/09/2023 18:15,5854.830,2471.420,1275.500,1734.990,281.340,35.860
01/09/2023 18:20,5816.470,2442.220,1270.390,1737.000,277.330,35.170
01/09/2023 18:25,5796.450,2440.890,1276.310,1713.940,275.020,35.270
01/09/2023 18:30,5805.870,2435.150,1274.940,1732.160,272.340,35.190
01/09/2023 18:35,5764.200,2445.170,1249.860,1709.560,270.230,34.810
01/09/2023 18:40,5777.870,2440.890,1268.690,1713.790,268.230,34.380
01/09/2023 18:45,5736.630,2438.770,1245.520,1711.940,267.350,34.520
01/09/2023 18:50,5784.380,2432.600,1271.460,1722.970,266.900,34.540
01/09/2023 18:55,5813.190,2457.250,1268.120,1734.790,262.990,34.760
01/09/2023 19:00,5821.000,2462.670,1252.650,1740.550,261.950,35.180
01/09/2023 19:05,5833.230,2468.210,1278.220,1738.380,258.890,35.390
01/09/2023 19:10,5808.320,2480.280,1238.800,1742.730,256.950,35.280
01/09/2023 19:15,5910.420,2492.220,1287.380,1782.590,256.660,35.690
01/09/2023 19:20,5831.650,2490.720,1262.020,1736.520,253.680,35.310
01/09/2023 19:25,5862.960,2489.050,1278.960,1758.790,252.780,35.500
01/09/2023 19:30,5881.610,2516.060,1257.990,1755.510,251.370,35.760
01/09/2023 19:35,5935.770,2543.480,1264.440,1782.520,251.810,35.930
01/09/2023 19:40,5899.720,2514.160,1252.310,1792.490,250.100,36.150
01/09/2023 19:45,5943.000,2521.600,1274.740,1803.600,248.180,36.120
01/09/2023 19:50,5928.300,2530.840,1280.310,1782.210,247.270,36.130
01/09/2023 19:55,5902.900,2529.990,1279.150,1754.680,246.680,36.260
01/09/2023 20:00,5907.920,2562.470,1247.150,1761.640,244.030,36.500
01/09/2023 20:05,5874.980,2541.290,1257.240,1742.620,241.740,36.140
01/09/2023 20:10,5895.180,2560.800,1243.860,1751.330,240.840,36.100
01/09/2023 20:15,5937.650,2587.890,1257.130,1759.240,239.440,36.390
01/09/2023 20:20,5904.840,2567.030,1264.870,1745.520,235.450,36.330
